A001    దేవునిస్తుతియించుడి యెల్లప్పుడు<br>
A002    యెహోవా - నా బలమా <br><br>
A003    ఎల్లవేళలందు - కష్టమందైనను<br>
A004    స్తోత్రము యేసునాథా - నీకు సదా<br>
A005    కర్తా నిన్‌ స్తుతించెదము<br>
A006    నా యాత్మా! నా యంతరంగమా! <br>
A007    సాగిలపడి మ్రొక్కెదము - <br>
A008    యేసు పరిశుద్ధ నామమునకు <br>
A009    తేనియ కంటెను-యేసుని నామం<br>
A010    ఎల్లప్పుడు స్తుతించు - నా యాత్మ <br>
A011    స్తోత్రింతుము నిను-మాదు తండ్రీ<br>
A012    జై జై జై జై రాజుల రాజ<br>
A013    ఎంత ఆనందము - ఎంత ఆనందము <br>
A014    సర్వమేసువే - నాకు సర్వమేసువే<br>
A015    యేసయ్య నామం - శక్తిగల నామం<br>
A016    స్తోత్రము చేసెదను<br>
A017    లెక్కింపలేని స్తోత్రముల్‌ - దేవా <br>
A018    హల్లెలూయ యేసు ప్రభున్‌<br>
A019    కృతజ్ఞతతో స్తుతింతు ఎల్లప్పుడు<br>
A020    యేసు నీ దివ్య పాదాలకు<br>
A021    సుందర పరమదేవ కుమారుడైన<br>
A022    నీ పాదం మ్రొక్కెదన్‌ నిత్యము స్తుతించి<br>
A023    కుతూహల మార్భాటమే <br>
A024    స్తుతించి పాడను పాత్రమైన <br>
A025    ఆనందం -ఆనందం<br>
A026    ఆయనే నా సంగీతము <br>
A027    ఆరాధింతున్‌ నేనారాధింతున్‌<br>
A028    మహిమ ప్రభు నీకే<br>
A029    జీవమైన యేసయ్య రమ్ము<br>
A030    ప్రేమా - ప్రేమా <br>
A031    నా నోటన్‌ క్రొత్త పాట<br>
A032    ప్రభుపై భారమెల్ల మోపుమయా<br>
A033    ఎవరు నన్ను చేయి విడిచినన్‌<br>
A034    ఎవని అతిక్రమము - మన్నింపబడెనో<br>
A035    యేసుని కుటుంబమొకటున్నది<br>
A036    దాసులార ధరణిని యేసుకు<br>
A037    ఉన్నత దేవుని - చాటున <br>
A038    పాపమునకు జీతము మరణం<br>
A039    సంతోషం పొంగెను - సంతోషం పొంగెను <br>
A040    లెమ్ము తేజరిల్లుము నీకు<br>
A041    భయమేల జనులారా <br>
A042    యేది నీ సాక్ష్యము<br>
A043    చీకటి కాలము వచ్చుచుండె<br>
A044    కుమ్మరీ ఓ కుమ్మరీ             <br>
A045    ఉన్నత దేవుడు నీతో నుండగ<br>
A046    ఏలీయా దేవుడు మన దేవుడు<br>
A047    నీకు సాటి ఎవరు నా యేసు నాథా<br>
A048    నా హృదయము వింతగా మారెను(3)<br>
A049    లోయలెల్ల పూడ్చబడాలి<br>
A050    యేసు నీ ప్రియ నామ-శబ్దం <br>
A051    సర్వశక్తుడు నా సొంతమయ్యెను<br>
A052    రమ్మూ నీ తరుణమిదే పిలుచుచున్నాడు <br>
A053    బిడ్డా ! నీహృదయము నాకిమ్ము<br>
A054    కన్నతల్లి చేర్చునట్లు<br>
A055    భూమియు దాని - సంపూర్ణత <br>
A056    యేసు కూడా వచ్చును<br>
A057    నేను నా ఇంటివారలం<br>
A058    ప్రభుయేసు నా రక్షకా<br>
A059    జయ జెండా పట్టుకొనెదం<br>
A060    నీ పాద సన్నిధికి <br>
A061    సహాయం చేయు శిఖరములను <br>
A062    సిల్వలో నాకై కార్చెను యేసు రక్తము<br>
A063    ప్రియ యేసు రాజును నే చూచిన చాలు<br>
A064    ఆశీర్వదించు - మా తండ్రీ <br>
A065    మంగళ మర్పింప కృపను ఇమ్మయా<br>
A066    బెత్లెహేములో పుట్టెనేసు<br>
A067    హోసన్నా పాడెదం - దేవుని దాసులం<br>
A068    యేసురాజు వచ్చుచున్నాడు<br>
A069    క్రీస్తు యేసు నాదు రాజా! <br>
A070    ఏ పాప మెరుగని - యో పావన<br>
A071    నీ రక్తమే జయం - కల్వరి యేసు<br>
A072    ప్రేమ కల్వరి ప్రేమ నిన్ను చూడగానే<br>
A073    లోకులు నిన్ను ద్వేషించినా<br>
A074    ఓ ఘోర పాపములు<br>
A075    యేసు-అనుభవించితివా సిలువను <br>
A076    పాపిని కృప జూపవయ్యా - దాపు <br>
A077    అపరాధిని యేసయ్యా<br>
A078    యుదా రాజ సింహం - తిరిగి లేచెను<br>
A079    గీతం గీతం - జయ జయ గీతం <br>
A080    పరమ జీవము నాకు నివ్వ            <br>
A081    సిలువను మోసి ఈ లోకమును<br>
A082    దేవ దేవుని సన్నిధిలో<br>
A083    బూరాధ్వని ఆకాశములో ధ్వనియించగా<br>
A084    ప్రకాశమైన - ఆశ్చర్యదేశము<br>
A085    సీయోను పాటలు సంతోషముగ<br>
A086    యెహోవా నీ నామము <br>
A087    స్తోత్రం చెల్లింతుము<br>
A088    మన కొరకై వచ్చాడు<br>
A089    చూడుము గెత్సెమనే<br>
A090    నీ రక్తమే-నీ రక్తమే-నన్‌ శుద్ధీకరించున్‌<br>
A091    ఓ యేసు నీ ప్రేమ<br>
A092    మందలో చేరని గొఱ్ఱెలెన్నో<br>
A093    ఎన్ని తలచినా - ఏది అడిగినా<br>
A094    ఎందుకో నన్నింతగా నీవు<br>
A095    అత్యున్నత సింహాసనముపై<br>
